State,gaugan,biggan,imle,deepfake,wild
S_1(+ gaugan),98.85,61.62,95.65,52.03,43.67
S_2(+ biggan),55.35,97.25,50.0,49.91,49.39
S_3(+ imle),50.25,49.25,100.0,55.91,53.22
S_4(+ deepfake),50.75,47.62,49.73,96.4,49.78
S_5(+ wild),49.8,48.62,50.12,72.64,77.75
