State,gaugan,biggan,imle,deepfake,wild
S_1(+ gaugan),99.65,59.5,84.01,47.5,49.29
S_2(+ biggan),94.45,95.75,53.41,50.0,49.35
S_3(+ imle),91.65,90.75,100.0,50.09,49.15
S_4(+ deepfake),86.1,82.88,99.57,97.32,51.72
S_5(+ wild),77.05,72.75,98.59,90.76,81.68
