State,gaugan,biggan,imle,deepfake,wild
S_1(+ gaugan),99.8,61.12,93.69,48.15,49.01
S_2(+ biggan),79.4,97,57.33,51.2,48.47
S_3(+ imle),50.1,50.38,100,63.77,50.32
S_4(+ deepfake),51.45,49.88,55.05,96.21,47.79
S_5(+ wild),47.15,49,43.18,76.62,81.29
